timestamp,avg_rating
02/17/2008,4.29
02/18/2008,4.12
02/19/2008,4.35
02/20/2008,4.41
02/21/2008,4.22
02/22/2008,4.14
02/23/2008,4.45
02/24/2008,4.3
02/25/2008,4.33
02/26/2008,4.32
02/27/2008,4.14
02/28/2008,4.3
02/29/2008,4.39
03/01/2008,4.15
03/02/2008,4.3
03/03/2008,4.35
03/04/2008,4.27
03/05/2008,4.3
03/06/2008,4.36
03/07/2008,4.28
03/08/2008,4.28
03/09/2008,4.21
03/10/2008,4.27
03/11/2008,4.25
03/12/2008,4.44
03/13/2008,4.25
03/14/2008,4.21
03/15/2008,4.32
03/16/2008,4.14
03/17/2008,4.09
03/18/2008,4.26
03/19/2008,4.23
03/20/2008,4.15
03/21/2008,4.14
03/22/2008,4.38
03/23/2008,4.25
03/24/2008,4.36
03/25/2008,4.33
03/26/2008,4.13
03/27/2008,4.27
03/28/2008,4.51
03/29/2008,4.2
03/30/2008,4.21
03/31/2008,4.17
04/01/2008,3.98
04/02/2008,4.21
04/03/2008,4.26
04/04/2008,4.27
04/05/2008,4.23
04/06/2008,4.12
04/07/2008,4.23
04/08/2008,4.28
04/09/2008,4.11
04/10/2008,4.11
04/11/2008,4.32
04/12/2008,4.3
04/13/2008,4.2
04/14/2008,4.23
04/15/2008,4.21
04/16/2008,4.21
04/17/2008,4.29
04/18/2008,4.28
04/19/2008,4.21
04/20/2008,4.18
04/21/2008,4.25
04/22/2008,4.25
04/23/2008,4.2
04/24/2008,4.25
04/25/2008,4.2
04/26/2008,4.31
04/27/2008,4.27
04/28/2008,4.38
04/29/2008,4.28
04/30/2008,4.35
05/01/2008,4.18
05/02/2008,4.26
05/03/2008,4.21
05/04/2008,4.38
05/05/2008,4.4
05/06/2008,4.39
05/07/2008,4.28
05/08/2008,4.2
05/09/2008,4.29
05/10/2008,4.32
05/11/2008,4.01
05/12/2008,4.12
05/13/2008,4.17
05/14/2008,4.28
05/15/2008,4.06
05/16/2008,4.34
05/17/2008,4.36
05/18/2008,4.13
05/19/2008,4.08
05/20/2008,4.24
05/21/2008,3.1
05/22/2008,2.98
05/23/2008,3.18
05/24/2008,4
05/25/2008,4.29
05/26/2008,4.19
05/27/2008,4.2
05/28/2008,4.32
05/29/2008,4.26
05/30/2008,4.2
05/31/2008,4.34
06/01/2008,4.27
06/02/2008,4.22
06/03/2008,4.26
06/04/2008,4.21
06/05/2008,4.24
06/06/2008,4.22
06/07/2008,4.28
06/08/2008,4.25
06/09/2008,4.24
06/10/2008,4.27
06/11/2008,4.32
06/12/2008,4.26
06/13/2008,4.17
06/14/2008,4.18
06/15/2008,4.45
06/16/2008,4.49
06/17/2008,4.54
06/18/2008,4.5
06/19/2008,4.57
06/20/2008,4.5
06/21/2008,4.47
06/22/2008,4.49
06/23/2008,4.51
06/24/2008,4.49
06/25/2008,4.45
06/26/2008,3.92
06/27/2008,4.44
06/28/2008,4.09
06/29/2008,3.97
06/30/2008,3.89
07/01/2008,4.18
07/02/2008,3.74
07/03/2008,3.93
07/04/2008,3.94
07/05/2008,3.91
07/06/2008,4.06
07/07/2008,4.03
07/08/2008,3.92
07/09/2008,3.78
07/10/2008,4.07
07/11/2008,4.06
07/12/2008,4.16
07/13/2008,3.95
07/14/2008,3.94
07/15/2008,4.38
07/16/2008,3.84
07/17/2008,4.39
07/18/2008,4.15
07/19/2008,4.1
07/20/2008,4.28
07/21/2008,4.05
07/22/2008,3.94
07/23/2008,4.22
07/24/2008,4.01
07/25/2008,4.22
07/26/2008,3.65
07/27/2008,3.69
07/28/2008,3.99
07/29/2008,4.07
07/30/2008,4.23
07/31/2008,4.1
08/01/2008,4.03
08/02/2008,3.84
08/03/2008,4.03
08/04/2008,3.75
08/05/2008,2.5
08/06/2008,4.49
08/07/2008,4.1
08/08/2008,4.2
08/09/2008,4.15
08/10/2008,4.04
08/11/2008,4.09
08/12/2008,3.94
08/13/2008,3.99
08/14/2008,3.69
08/15/2008,3.94
08/16/2008,4.02
08/17/2008,4.36
08/18/2008,4.29
08/19/2008,4.2
08/20/2008,4.17
08/21/2008,4.3
08/22/2008,4.13
08/23/2008,4.43
08/24/2008,4.28
08/25/2008,4.22
08/26/2008,4.39
08/27/2008,4.28
08/28/2008,4.31
08/29/2008,4.32
08/30/2008,4.29
08/31/2008,4.33
09/01/2008,4.33
09/02/2008,4.37
09/03/2008,4.15
09/04/2008,4.2
09/05/2008,4.36
09/06/2008,4.31
09/07/2008,4.2
09/08/2008,4.46
09/09/2008,4.38
09/10/2008,4.45
09/11/2008,4.34
09/12/2008,4.21
09/13/2008,4.08
09/14/2008,4.21
09/15/2008,4.37
09/16/2008,4.33
09/17/2008,3.7
09/18/2008,3.56
09/19/2008,3.61
09/20/2008,3.26
09/21/2008,3.35
09/22/2008,3.99
09/23/2008,4.15
09/24/2008,4.23
09/25/2008,4.39
09/26/2008,4.33
09/27/2008,4.35
09/28/2008,4.25
09/29/2008,4.24
09/30/2008,4.35
10/01/2008,4.08
10/02/2008,4.38
10/03/2008,4.2
10/04/2008,4.24
10/05/2008,4.28
10/06/2008,4.23
10/07/2008,4.27
10/08/2008,4.27
10/09/2008,4.27
10/10/2008,4.13
10/11/2008,4.38
10/12/2008,4.31
10/13/2008,4.13
10/14/2008,4.13
10/15/2008,4.19
10/16/2008,4.33
10/17/2008,4.41
10/18/2008,4.26
10/19/2008,4.44
10/20/2008,4.25
10/21/2008,4.41
10/22/2008,4.1
10/23/2008,4.43
10/24/2008,4.35
10/25/2008,4.47
10/26/2008,4.28
10/27/2008,4.23
10/28/2008,4.34
10/29/2008,4.4
10/30/2008,4.3
10/31/2008,4.34
11/01/2008,4.34
11/02/2008,4.2
11/03/2008,4.29
11/04/2008,4.18
11/05/2008,4.2
11/06/2008,4.55
11/07/2008,4.33
11/08/2008,4.08
11/09/2008,4.22
11/10/2008,4.25
11/11/2008,4.38
11/12/2008,4.23
11/13/2008,4.25
11/14/2008,4.28
11/15/2008,4.3
11/16/2008,4.24